Title,Link,Description,Date & Time,Cost,Location
React Ladies,https://www.meetup.com/React-Ladies/,"React Ladies is a supportive community for women and non-binary React enthusiasts with any level of programming experience to grow as technologists and meet other React developers. We center our events around JavaScript and other technologies within the React ecosystem.We are currently accepting donations and monetary sponsors at https://opencollective.com/react-ladies . If you know are interested in providing a venue for React Ladies? Please fill out a form at https://www.reactladies.com/partnerships/ .Who should join?Our community is for women and non-binary folks with any experience with or interest in React. All current and aspiring React developers are welcome. Bring your laptop and a friend!All attendees, speakers, etc., are expected to abide by the React Ladies Code of ConductCode of ConductReact Ladies is dedicated to providing a harassment-free experience for everyone, regardless of gender, gender identity and expression, age, sexual orientation, disability, physical appearance, body size, race, ethnicity, religion (or lack thereof), or technology choices. We do not tolerate harassment of participants in any form. Participants violating these rules may be removed from this community at the discretion of the organizers. (Adapted from JS Conf Code of Conduct)","Sat, Apr 25, 12:30 PM EDT",FREE,"New York, NY"
React x Node NYC,https://www.meetup.com/React-x-Node-NYC/,"React x Node NYC is the hub for React.js & Node events. Organized by Codesmith, it aims to bring the latest advancements in programming and technology to our community by hosting talks and panels monthly.Join us for compelling talks from the creators of React, lead engineers building with React & Node, and other prominent speakers disrupting tech.Some of our past speakers include:• Tom Occhino, React Engineering Manager @ Facebook• Michael Jackson, React-Router creator• Rajiv Tirumalareddy, Software Engineer @ Yahoo• Felix Rieseberg, Senior Staff Engineer @ Slack• Jafar Husain, Technical Lead @ NetflixReact x Node NYC will be hosted monthly. No matter what your level of experience is, we'd love to have you at our meetups! See you soon!","Tue, Apr 21, 9:30 PM EDT",FREE,"New York, NY"
React Native NYC,https://www.meetup.com/React-Native-NYC/,"This is THE group for NYC-based React Native developers and enthusiasts, since 2015. Whether you're a React Native pro, or just getting started, you're welcome here!We try to host 4 - 6 meetups per year and are always looking for folks to both host the meetup and speak at a future event. Want to speak at React Native NYC? Submit a talk proposal (https://github.com/react-native-nyc/meetup-talk-submissions) on our Github page!Interested in hosting React Native NYC at your office? Reach out to Brian Polonia or Ilya Usorov via Meetup, or feel free to make an issue on our Github page as well.If you're hiring for React Native devs, feel free to leave a comment in the Discussions section. We're going to work on a better system for this soon!Lastly, just remember: Be excellent to each other.","Tue, Nov 12, 7:00 PM EST",FREE,"New York, NY"
React NYC,https://www.meetup.com/ReactNYC/,"The ReactNYC meetup is a group for React and React Native developers in NYC.We meet at least once a month to listen to 3-4 presentations, share, learn, connect with other engineers, and have fun!We also organize Master Classes which are 2-hour sessions of lecture and live-coding.Check out our YouTube channelhttps://youtube.com/ReactNYCWe expect all speakers and attendees to follow our Code of Conduct (https://reactweek.nyc/code/)","Sun, Mar 8, 7:00 PM EDT",FREE,"New York, NY"
JavaScript and React for Beginners,https://www.meetup.com/JavaScript-and-React-nyc/,"It's not your grandfather's web anymore. Mobile is multiplying, tablets are thriving, and the not-so-distant future is a giant question mark following by a giant exclamation point. Responsive web design—the process of creating a site that adapts to the range of web-enabled devices—is poised for a huge breakthrough. First, though, we need to figure out how to do it.Our group is for people from a range of web disciplines—design, development, project management, content strategy, and more—looking to learn and share the ins and outs, the agonies and ecstasies, the glories and gotchas of responsive web design. Join us.","Mon, Jun 8, 10:00 AM EDT",FREE,"New York, NY"
Fullstack Developers,https://www.meetup.com/javascript-full-stack-development/,"Our meetup is an event where web designers and developers can come together to learn from and teach each other about emerging technologies. While speakers at Full Stack focus primarily on angularjs, react, node, hapiJS, express, plain ole' JavaScript, HTML, and CSS, we encourage all local web professionals to join us for vivid discussions around technology across the stack in any language.Hang & Code: After the talks, you're also welcome to make use of our desk space and team rooms while you're here, so feel free to bring a project to hack on after the talks.","Thu, Sep 6, 6:30 PM EDT",FREE,"New York, NY"
NYC Javascript React Group,https://www.meetup.com/NYC-Javascript-React-Group/,"""This group is for developers interested in learning about react or honing their existing craft. We have talks, tutorials, workshops, and more.""","Thu, Aug 31, 6:30 PM EDT",FREE,"New York, NY"
NYC React Native Tuesday,https://www.meetup.com/ReactNative/,#ReactNative Tuesday's is a meet-up group for individuals interested in React Native and developing mobile apps using React Native framework . Will have a few gatherings some social nights and hacks. Get Reactive!,"Tue, Dec 6, 7:00 PM EST",FREE,"New York, NY"
useReactNYC,https://www.meetup.com/useReactNYC/,"There's a new kind of React JS Meetup in town! Want a React meetup by the community, for the community? Want a React meetup that's open, welcoming, and inclusive to everyone? Guys, gals, non-binary, whomever? Want a React meetup that's nonjudgemental, no matter your experience level? Whatever you identify as, you're welcome at useReact. New York City's newest React Meetup.And… We do have a Code of Conduct (https://usereact.nyc#coc) to gently remind everyone what is expected.We'll have talks from some of the industry's foremost experts in React. We'll also have folks new to React share their learning experience.Talks are great, but we're also doing something a bit different from your average tech meetup. We're having plenty of 1:1 breakout time with the presenters. No scripts, just answering your questions in a casual mingle about format.(Psst... oh, and as the name implies, we'll do a fair amount of talking about Hooks)","Wed, Feb 19, 6:00 PM EST",FREE,"New York, NY"
Build with Code - New York City,https://www.meetup.com/Build-with-Code-New-York/,"Build with Code is a community of coders organized by Codesmith. We host free weekly HTML & CSS, JavaScript, software engineering and career-oriented workshops through immersive lectures and pair-programming sessions. Welcome!Join our community to learn beginner to advanced JavaScript concepts in-person in NY and live-streamed online. We offer a range of workshops, including:• Web Development Fundamentals & Intro to JavaScript: This workshop series covers the foundation of all web development from HTML & CSS, to variables, looping and functions.• JavaScript the Hard Parts: Go under-the-hood in more advanced JavaScript concepts like callbacks, higher-order functions (functional programming with JavaScript), object-oriented programming, closure, scope and execution context.• Build a Web App Series: Learn concepts like Dom Manipulation and React by building your own web app in under 2 hours• How to Get Hired as a Software Engineer: Led by Codesmith’s CEO and Frontend Masters instructor, Will Sentance, you’ll learn the five skills that you must have in order to succeed in the job search, including how to effectively whiteboard through coding interviews.Price: Codesmith’s mission is to make coding accessible to everyone, so we offer these free workshops weekly. Open to all!-------About Codesmith: ( https://www.codesmith.io/ )Codesmith is a 12-week software engineering immersive residency program.We teach computer science, object-oriented JavaScript, React, Angular, Node, distributed systems and mobile development so our grads can secure mid- to senior level software engineering positions or launch their own ventures.Learn more about our core full-time immersive program http://codesmith.io/softwate-engineering-im... (http://codesmith.io/softwate-engineering-immersive)For further questions email hello@codesmith.io","Mon, May 18, 9:30 PM EDT",FREE,"New York, NY"
